,Unnamed: 0,age,age_onset,birthplace,filename,native_language,speakerid,country,state,male
1800,1800,20.0,0.0,"winfield, illinois, usa",english508,english,1801,usa,illinois,0.0
1801,1801,44.0,0.0,"coudersport, pennsylvania, usa",english509,english,1802,usa,pennsylvania,0.0
1802,1802,66.0,0.0,"philadelphia, pennsylvania, usa",english510,english,1803,usa,pennsylvania,0.0
1817,1817,31.0,0.0,"montgomery, alabama, usa",english511,english,1818,usa,alabama,0.0
1818,1818,54.0,0.0,"salina, kansas, usa",english512,english,1819,usa,kansas,0.0
1871,1871,57.0,0.0,"youngstown, ohio, usa",english514,english,1872,usa,ohio,1.0
1872,1872,55.0,0.0,"youngstown, ohio, usa",english515,english,1873,usa,ohio,0.0
1874,1874,32.0,0.0,"dripping springs, texas, usa",english516,english,1875,usa,texas,0.0
1875,1875,33.0,0.0,"colorado springs, colorado, usa",english517,english,1876,usa,colorado,1.0
1883,1883,47.0,0.0,"st. paul, minnesota, usa",english520,english,1884,usa,minnesota,0.0
1885,1885,25.0,0.0,"bethesda, maryland, usa",english521,english,1886,usa,maryland,0.0
1886,1886,22.0,0.0,"bethpage, new york, usa",english522,english,1887,usa,new york,0.0
1887,1887,18.0,0.0,"madison, wisconsin, usa",english523,english,1888,usa,wisconsin,0.0
1889,1889,19.0,0.0,"downers grove, illinois, usa",english524,english,1890,usa,illinois,1.0
1892,1892,18.0,0.0,"albion, new york, usa",english525,english,1893,usa,new york,0.0
1894,1894,20.0,0.0,"woodbridge, virginia, usa",english526,english,1895,usa,virginia,1.0
1906,1906,25.0,0.0,"wynnewood, pennsylvania, usa",english527,english,1907,usa,pennsylvania,0.0
1907,1907,52.0,0.0,"green bay, wisconsin, usa",english528,english,1908,usa,wisconsin,0.0
1924,1924,29.0,0.0,"burlington, vermont, usa",english529,english,1925,usa,vermont,0.0
1925,1925,50.0,0.0,"detroit, michigan, usa",english530,english,1926,usa,michigan,0.0
1927,1927,29.0,0.0,"nokesville, virginia, usa",english531,english,1928,usa,virginia,0.0
1932,1932,23.0,0.0,"bristol, connecticut, usa",english532,english,1933,usa,connecticut,0.0
1933,1933,38.0,0.0,"fairfax, virginia, usa",english533,english,1934,usa,virginia,0.0
1950,1950,29.0,0.0,"mineola, new york, usa",english534,english,1951,usa,new york,0.0
1954,1954,22.0,0.0,"plymouth, massachusetts, usa",english535,english,1955,usa,massachusetts,0.0
1955,1955,21.0,0.0,"richmond, virginia, usa",english536,english,1956,usa,virginia,0.0
1956,1956,21.0,0.0,"woodbridge, virginia, usa",english537,english,1957,usa,virginia,0.0
1957,1957,20.0,0.0,"lyndhurst, virginia, usa",english538,english,1958,usa,virginia,0.0
1958,1958,19.0,0.0,"orange county, california, usa",english539,english,1959,usa,california,0.0
1959,1959,18.0,0.0,"arlington, virginia, usa",english540,english,1960,usa,virginia,0.0
1960,1960,27.0,0.0,"fort lauderdale, florida, usa",english541,english,1961,usa,florida,0.0
1969,1969,31.0,0.0,"hanover, new hampshire, usa",english544,english,1970,usa,new hampshire,1.0
1994,1994,56.0,0.0,"tangier island, virginia, usa",english545,english,1995,usa,virginia,1.0
1995,1995,43.0,0.0,"tangier island, virginia, usa",english546,english,1996,usa,virginia,0.0
1996,1996,63.0,0.0,"tangier island, virginia, usa",english547,english,1997,usa,virginia,1.0
2027,2027,82.0,0.0,"fredericksburg, virginia, usa",english550,english,2028,usa,virginia,1.0
2028,2028,81.0,0.0,"king george, virginia, usa",english551,english,2029,usa,virginia,0.0
2042,2042,23.0,0.0,"bethesda, maryland, usa",english552,english,2043,usa,maryland,0.0
2045,2045,21.0,0.0,"nashville, tennessee, usa",english553,english,2046,usa,tennessee,1.0
2046,2046,22.0,0.0,"hoffman estates, illinois, usa",english554,english,2047,usa,illinois,0.0
2048,2048,90.0,0.0,"brooklyn, new york, usa",english555,english,2049,usa,new york,1.0
2049,2049,84.0,0.0,"brooklyn, new york, usa",english556,english,2050,usa,new york,0.0
2054,2054,23.0,0.0,"queens, new york, usa",english558,english,2055,usa,new york,1.0
2055,2055,19.0,0.0,"reston, virginia, usa",english559,english,2056,usa,virginia,0.0
2058,2058,22.0,0.0,"hartford, connecticut, usa",english560,english,2059,usa,connecticut,0.0
2059,2059,20.0,0.0,"yorktown, virginia, usa",english561,english,2060,usa,virginia,0.0
2060,2060,30.0,0.0,"florence, south carolina, usa",english562,english,2061,usa,south carolina,0.0
2073,2073,32.0,0.0,"manassas, virginia, usa",english563,english,2074,usa,virginia,1.0
2076,2076,52.0,0.0,"casper, wyoming, usa",english564,english,2077,usa,wyoming,1.0
2079,2079,27.0,0.0,"portland, oregon, usa",english565,english,2080,usa,oregon,0.0
2100,2100,24.0,0.0,"new york, new york, usa",english567,english,2101,usa,new york,1.0
2102,2102,86.0,0.0,"quincy, florida, usa",english568,english,2103,usa,florida,0.0
2105,2105,42.0,0.0,"parma, ohio, usa",english570,english,2106,usa,ohio,0.0
2112,2112,39.0,0.0,"washington, dc, usa",english571,english,2113,usa,dc,1.0
2120,2120,51.0,0.0,"fort worth, texas, usa",english572,english,2121,usa,texas,1.0
2123,2123,46.0,0.0,"painesville, ohio, usa",english573,english,2124,usa,ohio,1.0
2164,2164,24.0,0.0,"great falls, virginia, usa",english575,english,2165,usa,virginia,1.0
2166,2166,63.0,0.0,"washington, dc, usa",english576,english,2167,usa,dc,0.0
2169,2169,38.0,0.0,"san leandro, california, usa",english577,english,2170,usa,california,0.0
